case_id,Z,metric,stride_xy,mean_sim,median_sim,p10_sim,p90_sim,min_sim,max_sim
s0124,32,ssim,1,0.7301974296569824,0.7304627299308777,0.6788485050201416,0.7811567783355713,0.6732484102249146,0.800876796245575
s0333,32,ssim,1,0.7289388179779053,0.7780599594116211,0.5807653069496155,0.8669404983520508,0.5589099526405334,0.9198339581489563
s0119,32,ssim,1,0.728735089302063,0.7316305637359619,0.6940554976463318,0.7687282562255859,0.6003351211547852,0.7772358655929565
s0044,32,ssim,1,0.7266955375671387,0.7161604762077332,0.648541271686554,0.8276920318603516,0.5369804501533508,0.8343726396560669
s1397,32,ssim,1,0.7262609601020813,0.7317377328872681,0.6643720865249634,0.7753353714942932,0.618694543838501,0.8466007709503174
s0040,32,ssim,1,0.7262312173843384,0.7377827167510986,0.651278018951416,0.7683619856834412,0.6448427438735962,0.8078190684318542
s0461,32,ssim,1,0.7252995371818542,0.7103532552719116,0.6726289987564087,0.7947400808334351,0.6501030325889587,0.8247766494750977
s0061,32,ssim,1,0.7251713275909424,0.679763674736023,0.6211006045341492,0.8820168375968933,0.5392560958862305,0.8887003660202026
s0605,32,ssim,1,0.7248744368553162,0.7145594358444214,0.6835485696792603,0.7884032726287842,0.6725677251815796,0.824992299079895
s0472,32,ssim,1,0.7214792370796204,0.7192534804344177,0.6606708765029907,0.7663291096687317,0.6265488862991333,0.7702075839042664
s0291,32,ssim,1,0.7207852005958557,0.7308639883995056,0.6870896816253662,0.7773674726486206,0.5075641870498657,0.7851260900497437
s0546,32,ssim,1,0.7204712629318237,0.7217334508895874,0.6823008060455322,0.7564743161201477,0.6763428449630737,0.7732640504837036
s0707,32,ssim,1,0.7200998663902283,0.7132771015167236,0.6850287318229675,0.7657301425933838,0.6554850339889526,0.7834582328796387
s0487,32,ssim,1,0.7191247344017029,0.7128366827964783,0.676905632019043,0.7661972045898438,0.663725733757019,0.7922929525375366
s0669,32,ssim,1,0.7160975933074951,0.700309693813324,0.6769850850105286,0.7910056710243225,0.6663170456886292,0.8067857027053833
s0408,32,ssim,1,0.7156142592430115,0.7126176357269287,0.6713444590568542,0.7687520384788513,0.6167557835578918,0.7755589485168457
s0362,32,ssim,1,0.7154225707054138,0.7200014591217041,0.6530724167823792,0.7648026347160339,0.6338918805122375,0.7762290239334106
s0369,32,ssim,1,0.7153849601745605,0.7211614847183228,0.6617063879966736,0.7754955291748047,0.6305419206619263,0.7861863374710083
s0375,32,ssim,1,0.7150322794914246,0.726391077041626,0.6315705180168152,0.7673649787902832,0.6248642802238464,0.783846378326416
s0153,32,ssim,1,0.7133052349090576,0.7160856127738953,0.6327258348464966,0.7703105211257935,0.6027401685714722,0.8140706419944763
s0549,32,ssim,1,0.713184118270874,0.716967761516571,0.6722469925880432,0.7523584365844727,0.649103581905365,0.7806196212768555
s0478,32,ssim,1,0.7123505473136902,0.7112846970558167,0.6097831130027771,0.7971187829971313,0.5887212157249451,0.8613375425338745
s1399,32,ssim,1,0.7118680477142334,0.7038228511810303,0.6550876498222351,0.8058237433433533,0.6503381133079529,0.8129921555519104
s0063,32,ssim,1,0.7106506824493408,0.7180624008178711,0.582057535648346,0.9016026854515076,0.11332520097494125,0.9999953508377075
s0003,32,ssim,1,0.7086589336395264,0.6935364603996277,0.6431244611740112,0.7815824747085571,0.6302186846733093,0.8179160356521606
s0421,32,ssim,1,0.7084245085716248,0.697075605392456,0.6612709760665894,0.8007737994194031,0.6563223600387573,0.811447262763977
s0783,32,ssim,1,0.7078063488006592,0.7223870754241943,0.5950899720191956,0.7950231432914734,0.5343863368034363,0.8092016577720642
s0006,32,ssim,1,0.7076789736747742,0.7251167893409729,0.6406149864196777,0.7539123296737671,0.6051754355430603,0.7661480903625488
s0587,32,ssim,1,0.7068613767623901,0.7125036716461182,0.6682985424995422,0.7345253825187683,0.6506653428077698,0.7437715530395508
s0161,32,ssim,1,0.7066251635551453,0.7216549515724182,0.6209360957145691,0.7777836918830872,0.4030395448207855,0.7872476577758789
s0152,32,ssim,1,0.7061550617218018,0.7375062108039856,0.5851197838783264,0.8446930050849915,0.5281352996826172,0.8829193115234375
s0484,32,ssim,1,0.7056241035461426,0.711722731590271,0.6375698447227478,0.765381395816803,0.6213303208351135,0.7779344916343689
s0160,32,ssim,1,0.7052748203277588,0.7062944173812866,0.6668098568916321,0.735521674156189,0.6497777104377747,0.7443543076515198
s1226,32,ssim,1,0.7039255499839783,0.7018789649009705,0.6715714335441589,0.7273122072219849,0.662296712398529,0.7660852670669556
s0402,32,ssim,1,0.7029038071632385,0.7059902548789978,0.6491161584854126,0.754523515701294,0.6428285241127014,0.7719860076904297
s0058,32,ssim,1,0.7020648121833801,0.7009713053703308,0.6752727627754211,0.7339070439338684,0.6614910960197449,0.7406722903251648
s0120,32,ssim,1,0.701478898525238,0.7264834046363831,0.5935248732566833,0.7782636880874634,0.45537084341049194,0.7989076375961304
s0543,32,ssim,1,0.6985794901847839,0.7022469639778137,0.6463457942008972,0.7366804480552673,0.6380722522735596,0.7449472546577454
s0009,32,ssim,1,0.6967450380325317,0.7043505907058716,0.6222541332244873,0.7617133259773254,0.6014705300331116,0.769046425819397
s0446,32,ssim,1,0.6954179406166077,0.7040219902992249,0.6305924654006958,0.7469509840011597,0.6101769208908081,0.7671462297439575
s0292,32,ssim,1,0.6954039931297302,0.6930756568908691,0.5402474403381348,0.8264822959899902,0.514835000038147,0.850471019744873
s0133,32,ssim,1,0.6941001415252686,0.6907708048820496,0.6434053182601929,0.7498058676719666,0.6338799595832825,0.7823154330253601
s0519,32,ssim,1,0.6937666535377502,0.690142810344696,0.6430150270462036,0.7392077445983887,0.6299145221710205,0.7883010506629944
s0516,32,ssim,1,0.6933956146240234,0.7015939354896545,0.6131553053855896,0.7580410838127136,0.5819793939590454,0.7906354665756226
s0477,32,ssim,1,0.6904250383377075,0.6852535009384155,0.6452133655548096,0.7345709204673767,0.6342666745185852,0.7452382445335388
s0131,32,ssim,1,0.6880038380622864,0.7391915917396545,0.6535188555717468,0.7846745848655701,0.0548478327691555,0.7990784049034119
s1094,32,ssim,1,0.687274158000946,0.6778519749641418,0.6452820301055908,0.7562029957771301,0.6334801912307739,0.7972475290298462
s0692,32,ssim,1,0.6869029402732849,0.6778267621994019,0.6361857652664185,0.7304384708404541,0.6225112676620483,0.8127644062042236
s0110,32,ssim,1,0.6868164539337158,0.7119760513305664,0.5392451286315918,0.8352863788604736,0.46977555751800537,0.8534712791442871
s0456,32,ssim,1,0.6856446266174316,0.7166556715965271,0.5812771320343018,0.7619964480400085,0.44617098569869995,0.7692735195159912
s0371,32,ssim,1,0.682817816734314,0.685562252998352,0.6292697787284851,0.7250646948814392,0.6218885183334351,0.7523623108863831
s0307,32,ssim,1,0.682303249835968,0.6848537921905518,0.6369756460189819,0.7128540873527527,0.615203320980072,0.7350952625274658
s0431,32,ssim,1,0.6822364330291748,0.6752412915229797,0.656366765499115,0.726952075958252,0.5672076344490051,0.7360914349555969
s0550,32,ssim,1,0.6809839606285095,0.6748299598693848,0.649132490158081,0.716249942779541,0.6207557916641235,0.761450469493866
s0080,32,ssim,1,0.679317831993103,0.6797643303871155,0.6580691933631897,0.6982446908950806,0.6134986877441406,0.7007567286491394
s0021,32,ssim,1,0.6792811751365662,0.6777377724647522,0.579301118850708,0.7827051877975464,0.5649904608726501,0.7918072938919067
s0476,32,ssim,1,0.6761970520019531,0.6667374968528748,0.6295375227928162,0.7615692019462585,0.6164929866790771,0.7857203483581543
s0012,32,ssim,1,0.6753212809562683,0.688591718673706,0.5910465121269226,0.7357367277145386,0.5735681056976318,0.7587202191352844
s0190,32,ssim,1,0.6746264100074768,0.6779999732971191,0.6268746852874756,0.715137243270874,0.6115219593048096,0.7279787063598633
s0174,32,ssim,1,0.6714110970497131,0.6763371825218201,0.6110270619392395,0.7379142045974731,0.5777247548103333,0.782781183719635
s1369,32,ssim,1,0.6688762903213501,0.6739481091499329,0.6017178297042847,0.713813841342926,0.5837528705596924,0.7559865713119507
s0150,32,ssim,1,0.6685903668403625,0.669556200504303,0.608280599117279,0.7422865629196167,0.5789563655853271,0.7521770000457764
s0117,32,ssim,1,0.6681646108627319,0.6883224844932556,0.6333286762237549,0.732959508895874,0.2808769643306732,0.7490941882133484
s0108,32,ssim,1,0.6658656597137451,0.6479318141937256,0.6222913861274719,0.7247877717018127,0.607932448387146,0.7329596877098083
s0289,32,ssim,1,0.6652743220329285,0.6673430800437927,0.5406878590583801,0.782537579536438,0.5066319704055786,0.7946315407752991
s0507,32,ssim,1,0.6651273965835571,0.6573387980461121,0.6263386011123657,0.723874568939209,0.595465898513794,0.7372941374778748
s1292,32,ssim,1,0.6642076969146729,0.6533328294754028,0.6324433088302612,0.7148932814598083,0.6153165698051453,0.7493897676467896
s0046,32,ssim,1,0.6614222526550293,0.6527559757232666,0.6300051212310791,0.7275536060333252,0.6181445121765137,0.7669602036476135
s0170,32,ssim,1,0.659816324710846,0.6841495037078857,0.4771827161312103,0.8094133138656616,0.45868998765945435,0.8323168754577637
s0685,32,ssim,1,0.6591747999191284,0.6702585220336914,0.5450426936149597,0.781976580619812,0.5274942517280579,0.8094809651374817
s0059,32,ssim,1,0.6574875712394714,0.6707263588905334,0.601674497127533,0.7050792574882507,0.5591127276420593,0.7358788251876831
s0212,32,ssim,1,0.6573745012283325,0.694617509841919,0.613421618938446,0.7512054443359375,0.062407635152339935,0.7638193964958191
s0536,32,ssim,1,0.6529564261436462,0.6530548930168152,0.5718045830726624,0.735885500907898,0.5506445169448853,0.7718562483787537
s0050,32,ssim,1,0.6523694396018982,0.6446400880813599,0.5534785389900208,0.7334516644477844,0.5069814920425415,0.758134663105011
s0347,32,ssim,1,0.6519908308982849,0.6568059921264648,0.5904729962348938,0.7160035371780396,0.5414316058158875,0.7537356019020081
s0804,32,ssim,1,0.6511939764022827,0.6629176139831543,0.5799741148948669,0.7272012233734131,0.5246679782867432,0.7570219039916992
s0334,32,ssim,1,0.6508275866508484,0.6788192391395569,0.5106943845748901,0.7279765605926514,0.4445044994354248,0.759211003780365
s0079,32,ssim,1,0.6485862135887146,0.6996457576751709,0.4525149166584015,0.8062202334403992,0.23545944690704346,0.8400720357894897
s0423,32,ssim,1,0.6484389305114746,0.6437177658081055,0.5683883428573608,0.7295286655426025,0.5557553172111511,0.7585693001747131
s0162,32,ssim,1,0.6481366157531738,0.6694122552871704,0.6424163579940796,0.7030026912689209,0.17506767809391022,0.7396052479743958
s0151,32,ssim,1,0.6472609639167786,0.6832789778709412,0.5805756449699402,0.7379983067512512,0.17392809689044952,0.8216949701309204
