case,mask_id,dice_bp_direct,dice_bp_medsam,dice_gt_medsam
s0548,7,0.6398158803222095,0.687493328589219,
s0548,8,0.8100720424378605,0.8028429282160625,
s0548,9,0.2649137687305626,0.4328576244521856,
s0549,1,0.0055630643865937,0.0055290567507057,
s0549,2,0.0047562425683709,0.0440051020408163,
s0549,3,0.0,0.0,
s0550,1,0.0054017555705604,0.0589689265536723,
s0550,2,0.0,0.0037433155080213,
s0550,3,0.0021707670043415,0.0016516185862144,
s0550,4,0.0,0.0,
s0550,5,0.0936675461741424,0.1518372304889158,
s0550,6,0.0,0.0,
s0550,7,0.749812149160933,0.7269789113630855,
s0550,8,0.7939903416204614,0.7425629290617849,
s0550,9,0.4777332381527648,0.5697526373226628,
s0550,10,0.5167811690505688,0.5371939736346516,
s0550,11,0.5077136900625434,0.6907426807079451,
s0551,1,0.0,0.0,
s0551,2,0.0152432190091907,0.0137416568511974,
s0551,3,0.0,0.0,
s0551,4,0.0017433591778685,0.0020242604548451,
s0551,5,0.6926362106897891,0.5177448989459433,
s0551,6,0.0566706021251475,0.044263775971093,
s0551,7,0.042833607907743,0.112853733378793,
s0551,8,0.0,0.0,
s0551,9,0.0,0.0,
s0551,10,0.0166666666666666,0.0253829321663019,
s0551,11,0.2783443311337732,0.2819060313228924,
s0561,1,0.0445812546438806,0.0540661973940392,
s0561,2,0.0,0.0017017719327053,
s0561,3,0.0017409075426711,0.0025437553570934,
s0561,4,0.0,0.0,
s0561,5,0.0,0.0,
s0561,6,0.0,0.0,
s0561,7,0.007806031933767,0.0022654332641117,
s0561,8,0.0,0.0098002261590652,
s0561,9,0.0,0.0,
s0561,10,0.3882373845060412,0.4645498042627229,
s0561,11,0.0337777777777777,0.0776508972267536,
s0561,12,0.0297397769516728,0.0,
s0571,1,0.0,0.0,
s0571,2,0.0,0.0,
s0571,3,0.0,0.0,
s0571,4,0.005420054200542,0.0120906801007556,
s0571,5,0.6749388982891521,0.4648773782825725,
s0571,6,0.4145275062668817,0.433783179908839,
s0571,7,0.530540262847153,0.4759587902957793,
s0571,8,0.0359508041627246,0.0591618734593262,
s0571,9,0.0639658848614072,0.0873417721518987,
s0574,1,0.0,0.0,
s0574,2,0.0,0.0,
s0574,3,0.0,0.0,
s0574,4,0.0,0.0,
s0574,5,0.0,0.0,
