case,mask_id,dice_bp_direct,dice_bp_medsam,dice_gt_medsam
s0507,1,0.0,0.0,
s0507,2,0.0,0.0,
s0507,3,0.0,0.0,
s0507,4,0.0,0.0,
s0507,5,0.0,0.0,
s0507,6,0.0,0.0,
s0510,1,0.0,0.0,
s0510,2,0.0,0.0,
s0510,3,6.463984831182263e-05,0.0,
s0514,1,0.0001075557945684,0.0012441174879645,
s0514,2,0.0,0.0,
s0514,3,0.0,0.0002003486065754,
s0514,4,0.0,0.0,
s0516,1,0.0,0.0,
s0516,2,0.0058215243201838,0.0134546386468477,
s0516,3,0.0,0.0,
s0516,4,0.0,0.0,
s0516,5,0.0,0.0,
s0516,6,0.0,0.0,
s0516,7,0.0,0.0,
s0516,8,0.0,0.0,
s0516,9,0.0,0.0,
s0516,10,0.0,0.0,
s0516,11,0.0,0.0,
s0519,1,0.0,0.0,
s0519,2,0.0,0.0,
s0519,3,0.0,0.0,
s0519,4,0.0,0.0004005607850991,
s0519,5,0.0,0.0,
s0519,6,0.0,0.0,
s0519,7,0.0,0.0,
s0519,8,0.0,0.0,
s0519,9,0.0,0.0,
s0519,10,0.0,0.0,
s0519,11,0.0,0.0,
s0519,12,0.0,0.0,
s0521,1,0.0,0.0,
s0521,2,0.0013698630136986,0.0045215389674449,
s0521,3,0.0023196190941277,0.0093979217603911,
s0536,1,0.0,0.0,
s0536,2,0.0035097981866042,0.0003457216940363,
s0536,3,0.0,0.0,
s0536,4,0.0,0.0,
s0536,5,0.0,0.0,
s0536,6,0.0,0.0,
s0536,7,0.0,0.0,
s0536,8,0.0,0.0,
s0536,9,0.0,0.0,
s0536,10,0.0,0.0,
s0543,1,0.0,0.0,
s0543,2,0.0,0.0,
s0543,3,0.0,0.0,
s0543,4,0.1409461832455324,0.2064037503129053,
s0543,5,4.996003197442046e-05,0.0023662221784032,
s0546,1,0.0,0.0,
s0546,2,0.0,0.0,
s0546,3,0.0,0.0,
s0546,4,0.0,0.0,
s0546,5,0.0,0.0,
s0548,1,0.0,0.0,
s0548,2,0.0,0.0,
s0548,3,0.000407747196738,0.0002606768909936,
s0548,4,0.0007710100231303,0.0,
s0548,5,0.0,0.0,
s0548,6,0.0,0.0,
s0548,7,0.0,0.0,
s0548,8,0.0,0.0,
s0548,9,0.0,0.0,
s0549,1,0.0,0.0,
s0549,2,0.0,0.0,
s0549,3,0.0,0.0,
s0550,1,0.0,0.0090236871788444,
s0550,2,0.0,0.0,
s0550,3,0.0,0.0,
s0550,4,0.0,0.0,
s0550,5,0.0256937307297019,0.0561914672216441,
s0550,6,0.0,0.0,
s0550,7,0.0,0.0003154872700886,
s0550,8,0.0,0.0,
s0550,9,0.0,0.0,
s0550,10,0.0,0.0,
s0550,11,0.0,0.0,
s0551,1,0.0,0.0,
s0551,2,0.0,0.0,
s0551,3,0.0,0.0,
s0551,4,0.0085470085470085,0.0,
s0551,5,0.0,0.0023053278688524,
s0551,6,0.0,0.0,
s0551,7,0.0,0.0,
s0551,8,0.0,0.0,
s0551,9,0.0,0.0,
s0551,10,0.0,0.0,
s0551,11,0.0,0.0,
s0561,1,0.0559230306674684,0.0590412566579398,
s0561,2,0.0,0.0,
s0561,3,0.0,0.0,
s0561,4,0.0,0.0,
s0561,5,0.0,0.0,
s0561,6,0.0,0.0,
s0561,7,0.0,0.0,
s0561,8,0.0,0.0,
s0561,9,0.0,0.0,
s0561,10,0.0,0.0,
s0561,11,0.0,0.0,
s0561,12,0.0090361445783132,0.0901287553648068,
s0571,1,0.0,0.0,
s0571,2,0.0,0.0,
s0571,3,0.0,0.0,
s0571,4,0.0,0.0,
s0571,5,0.0,0.0,
s0571,6,0.0,0.0,
s0571,7,0.0,0.0,
s0571,8,0.0,0.0,
s0571,9,0.0,0.0,
s0574,1,0.0,0.0,
s0574,2,0.0,0.0,
s0574,3,0.0,0.0,
s0574,4,0.0,0.0,
s0574,5,0.0,0.0,
s0574,6,0.0,0.0,
s0574,7,0.0,0.0,
s0574,8,0.0,0.0,
s0574,9,0.0,0.0,
s0574,10,0.0504731861198738,0.084822619365164,
s0587,1,0.032698039924126,0.0542154835745462,
s0587,2,0.0,0.0,
s0587,3,0.0,0.0,
s0587,4,0.0,0.0,
s0587,5,0.0,0.0,
s0587,6,0.0,0.0,
s0587,7,0.0,0.0,
s0587,8,0.0,0.0,
s0587,9,0.0,0.0,
s0587,10,0.0,0.0,
s0587,11,0.0,0.0,
s0587,12,0.0002389200812328,0.0141476066965338,
s0587,13,0.0,0.0,
s0587,14,0.0015006252605252,0.0,
s0595,1,0.0,0.0,
s0595,2,0.0,0.0,
s0595,3,0.0,0.0,
s0595,4,0.0085501858736059,0.0524424331159323,
s0595,5,0.0,0.0,
s0603,1,0.0,0.0,
s0605,1,0.0030790027035145,0.0001329389477882,
s0605,2,0.0,0.0,
s0605,3,0.0130319690490735,0.0320121951219512,
s0605,4,0.0,0.0,
s0605,5,0.0,0.0,
s0605,6,0.0,0.0018603319977103,
s0608,1,0.0,0.0,
s0608,2,0.0,0.0,
s0608,3,0.0,0.0,
s0608,4,0.0306345733041575,0.0134228187919463,
s0608,5,0.0,0.0,
s0608,6,0.0,0.0,
s0608,7,0.0013310685301626,0.0032598888145065,
s0608,8,0.0,0.0,
s0627,1,0.0,0.0,
s0627,2,0.0,0.0,
s0627,3,0.0,0.0,
s0627,4,0.0,0.0,
s0627,5,0.0146341463414634,0.1497206703910614,
s0627,6,0.0,0.0,
s0627,7,0.0,0.0,
s0627,8,0.0,0.0,
s0627,9,0.0,0.0,
s0633,1,0.2797883597883598,0.2428082441191464,
s0652,1,0.0,0.0,
s0652,2,0.0075158740443177,0.021024617431803,
s0652,3,0.0,0.0,
s0652,4,0.0,0.0,
s0652,5,0.0112725634605512,0.0119904799204651,
s0669,1,0.0,0.0,
s0669,2,0.0,0.0,
s0669,3,0.0,0.0029754525167369,
s0669,4,0.0,0.0,
s0675,1,0.0,0.0,
s0675,2,0.0,0.0,
s0675,3,0.0027809249150272,0.0335342146189735,
s0675,4,0.0009102286949596,0.0077539415869733,
s0685,1,0.0,0.0,
s0685,2,0.0,0.0,
s0692,1,0.0,0.0,
s0692,2,0.0,0.0,
s0692,3,0.0,0.0,
s0692,4,0.0,0.0,
s0692,5,0.0019749835418038,0.0092638218192569,
s0692,6,0.0,0.0,
s0697,1,0.0,0.0,
s0697,2,0.0,0.0,
s0697,3,0.0,0.0,
s0707,1,0.0006603646680444,0.006787276246923,
s0707,2,0.000197628458498,0.0049267643142476,
s0724,1,0.3622783978988838,0.4216009100161648,
s0724,2,0.0,0.0,
s0736,1,0.0,0.0,
s0736,2,0.037174721189591,0.0,
s0736,3,0.0,0.0,
s0740,1,0.0845680419421016,0.1106382978723404,
s0740,2,0.0,0.0,
s0740,3,0.0,0.0,
s0751,1,0.0,0.0,
s0751,2,0.0,0.0,
s0751,3,0.0004134509371554,0.0055473591029802,
s0751,4,0.0,0.0,
s0751,5,0.0005712653527563,0.0326086956521739,
s0751,6,0.0,0.0,
s0751,7,0.0,0.0,
s0751,8,7.78558498939214e-05,0.0007208437665983,
s0751,9,0.0,0.0,
s0751,10,0.0,0.0,
s0751,11,0.0,0.0,
s0751,12,0.0,0.0,
s0751,13,0.0,0.0,
s0774,1,0.0832662617984927,0.1033296921147388,
s0783,1,0.0,0.0,
s0791,1,0.0,0.0,
s0791,2,0.0576417974018598,0.1032450825794671,
s0791,3,0.0,0.0,
s0791,4,0.000435795578351,0.0050041141206696,
s0804,1,0.0,0.0,
s0804,2,0.0,0.0,
s0804,3,0.0,0.0,
s0804,4,0.0062189054726368,0.0111368909512761,
s0837,1,0.0,0.0,
s0840,1,0.0,0.0,
s0840,2,0.0,0.0,
s0840,3,0.0,0.012041792102001,
s0840,4,0.0001611794034213,0.0016166859002653,
s0840,5,0.0,1.4954724571360206e-05,
s0840,6,0.0,0.0,
s0840,7,0.0,2.843655803901496e-05,
s0840,8,1.1260310221546604e-05,0.0,
s0858,1,0.0,0.0,
s0858,2,0.0,0.0,
s0858,3,0.0,0.0,
s0858,4,0.0,0.0,
s0858,5,0.0,0.0,
s0895,1,0.0,0.0,
s0931,1,0.0,0.0,
s0931,2,0.0,0.0,
s0931,3,0.0026798598227169,0.006346243583761,
s0931,4,0.0188323917137476,0.0307076101468624,
s0931,5,0.0,0.0,
s0931,6,0.0,0.0,
s0931,7,0.0,0.0,
s0931,8,0.0,0.0,
