case,mask_id,mode,prompt,dice,iou,gt_pos,pred_pos,bp_pred_pos,slices_used
s0370,3,structured,calcification,0.0,0.0,0,14602,10786,31
s0370,4,structured,lesion,0.0,0.0,119,602,51,9
s0370,5,structured,lesion,0.0,0.0,333,501,41,7
s0370,6,structured,lesion,0.0,0.0,1013,186,6,4
s0370,7,structured,lesion,0.008381058807095963,0.00420816383784542,27931,705,64,8
s0371,1,structured,mass,0.22857505876373801,0.12903457179744657,6847,8894,5886,25
s0371,2,structured,lymph node,0.0018979833926453143,0.000949893137022085,408,3807,1231,17
s0371,3,structured,lesion,0.0,0.0,196,6717,2854,28
s0371,4,structured,cyst,0.0,0.0,12,8791,5448,16
s0371,5,structured,emphysema,8.12397180981782e-05,4.062150908906266e-05,45645,3592,1324,18
s0371,6,structured,emphysema,0.0,0.0,28859,845,401,9
s0371,7,structured,lesion,0.0,0.0,73090,1731,606,18
s0375,1,structured,lesion,0.0,0.0,186,5442,2730,28
s0375,2,structured,lesion,0.0,0.0,81,1247,152,17
s0375,3,structured,calculus,0.0,0.0,0,5799,2846,17
s0375,4,structured,tumor,0.0,0.0,162,6154,1922,20
s0375,5,structured,tumor,0.0,0.0,52110,995,214,12
s0376,1,structured,calcification,0.0,0.0,947,5192,3965,9
s0376,2,structured,calcification,0.0,0.0,1162,918,224,8
s0376,3,structured,calcification,0.0,0.0,214,223,41,2
s0376,4,structured,emphysema,0.0,0.0,171029,3183,781,16
s0376,5,structured,emphysema,0.0,0.0,98857,1365,214,9
s0376,6,structured,emphysema,0.0,0.0,57226,262,19,3
s0376,7,structured,emphysema,0.0,0.0,310925,763,65,6
s0376,8,structured,emphysema,0.0,0.0,169311,322,17,3
s0377,1,structured,lesion,0.0,0.0,705,2732,1034,27
s0377,2,structured,lesion,0.0,0.0,9804,1319,185,20
s0377,3,structured,lesion,0.0,0.0,32270,524,41,10
s0383,1,structured,fracture,0.0,0.0,1008,21277,12447,28
s0383,2,structured,lesion,0.042509286009079654,0.021716213367067257,895,8797,4816,30
s0383,3,structured,lesion,0.0,0.0,1628,2065,300,22
s0383,4,structured,lymph node,0.0,0.0,120,4136,1319,19
s0383,5,structured,lesion,0.0,0.0,4031,1178,115,14
s0383,6,structured,cyst,0.0,0.0,0,13909,8154,22
s0388,1,structured,lesion,0.00012997140629061605,6.498992656138298e-05,30162,16002,11859,31
s0388,2,structured,lesion,0.0,0.0,291,1828,551,22
s0388,3,structured,lesion,0.025053995680345574,0.01268591426071741,740,1575,363,21
s0389,1,structured,calcification,0.0,0.0,757,31868,22732,10
s0389,2,structured,calcification,0.0,0.0,362,9418,2359,6
s0389,3,structured,calcification,0.0,0.0,1432,1794,425,7
s0389,4,structured,lesion,0.0,0.0,1319,12701,9097,31
s0393,1,structured,lesion,0.006256517205422315,0.0031380753138075313,50,2827,1092,21
s0393,2,structured,lesion,0.0,0.0,583,1183,140,15
s0393,3,structured,calcification,0.0,0.0,47,10378,18598,10
s0393,4,structured,lesion,0.0,0.0,63252,555,34,7
s0402,1,structured,lesion,0.0,0.0,47,5399,2501,30
s0402,2,structured,cyst,0.0,0.0,25,1934,640,15
s0402,3,structured,mass,0.0,0.0,1338,4993,1944,23
s0402,4,structured,nodule,0.0,0.0,53,2011,763,17
